"시군구별","용도지역및이용현황별","항목","단위","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월",
"서구","주거용(대)","지가변동률[%]","%",".289",".266",".233",".283",".255",".343",".247",".217","-.053","-.051","-.054",
"서구","상업용(대)","지가변동률[%]","%",".176",".206",".279",".3",".325",".243",".223",".39",".224","-.001",".012",
"서구","임야","지가변동률[%]","%",".087",".107",".015",".165",".073",".068",".094",".05",".069",".087",".075",
"서구","공장용지","지가변동률[%]","%",".271",".188",".269",".291",".222",".169",".272",".246",".264",".119",".065",
"남구","평균","지가변동률[%]","%",".216",".252",".243",".25",".233",".212",".188",".173",".131",".026","-.003",
"남구","주거지역","지가변동률[%]","%",".217",".293",".248",".277",".305",".256",".196",".175",".104",".032","-.018",
"남구","상업지역","지가변동률[%]","%",".274",".17",".271",".22",".022",".101",".207",".215",".274","-.032",".056",
"남구","녹지지역","지가변동률[%]","%","0","0",".091","0","0",".021",".006","0","0",".127","0",
"남구","주거용(대)","지가변동률[%]","%",".212",".276",".279",".302",".297",".249",".192",".173",".107",".012","-.021",
"남구","상업용(대)","지가변동률[%]","%",".207",".189",".13",".12",".149",".19",".192",".159",".161",".008",".038",
"남구","임야","지가변동률[%]","%","0","0",".125","0","0","0","0","0","0",".148","0",
"북구","평균","지가변동률[%]","%",".255",".275",".312",".315",".305",".261",".272",".17",".12",".017","-.005",
"북구","주거지역","지가변동률[%]","%",".261",".21",".267",".296",".251",".22",".265",".158",".071","-.009","-.038",
"북구","상업지역","지가변동률[%]","%",".279",".355",".384",".344",".385",".37",".258",".172",".207",".06",".065",
"북구","공업지역","지가변동률[%]","%",".254",".305",".318",".336",".323",".353",".373",".26",".231",".064",".053",
"북구","녹지지역","지가변동률[%]","%",".15",".688",".589",".411",".637",".182",".101",".067",".127",".07",".013",
"북구","전","지가변동률[%]","%",".25",".622",".425",".514",".533",".211",".109",".078",".136",".107",".011",
"북구","답","지가변동률[%]","%",".166",".851",".365",".741","1.595",".291",".036",".039",".033",".234",".007",
"북구","주거용(대)","지가변동률[%]","%",".293",".306",".329",".311",".292",".215",".197",".078","-.041","-.074","-.083",
"북구","상업용(대)","지가변동률[%]","%",".193",".191",".294",".237",".228",".279",".365",".281",".275",".117",".081",
"북구","임야","지가변동률[%]","%",".049",".621",".394",".424",".432","0",".009",".023",".037",".028",".02",
"북구","공장용지","지가변동률[%]","%",".216",".253",".334",".381",".278",".269",".335",".286",".237",".058",".049",
"수성구","평균","지가변동률[%]","%",".35",".368",".373",".333",".341",".364",".296",".181",".146",".037","-.01",
"수성구","주거지역","지가변동률[%]","%",".424",".443",".42",".336",".365",".355",".273",".118",".065","-.043","-.103",
"수성구","상업지역","지가변동률[%]","%",".235",".241",".364",".332",".321",".453",".504",".451",".439",".295",".308",
"수성구","녹지지역","지가변동률[%]","%",".077",".101",".106",".23",".202",".252",".144",".171",".17",".166",".116",
"수성구","전","지가변동률[%]","%",".159",".168",".133",".378",".336",".194",".216",".156",".171",".214",".13",
"수성구","답","지가변동률[%]","%",".231",".232",".116",".115",".115",".115",".115",".115",".229",".257",".512",
"수성구","주거용(대)","지가변동률[%]","%",".405",".5",".37",".35",".415",".283",".286",".107","-.049","-.117","-.165",
"수성구","상업용(대)","지가변동률[%]","%",".364",".219",".458",".329",".353",".54",".344",".305",".386",".19",".158",
"수성구","임야","지가변동률[%]","%",".053",".008",".045",".051",".016",".124",".136",".194",".207",".024",".239",
"달서구","평균","지가변동률[%]","%",".31",".287",".278",".272",".288",".234",".2",".145",".125",".032","-.004",
"달서구","주거지역","지가변동률[%]","%",".343",".306",".324",".309",".252",".275",".232",".139","-.088",".016","-.015",
"달서구","상업지역","지가변동률[%]","%",".297",".365",".154",".118",".648",".189",".136",".208",".746",".037",".032",
"달서구","공업지역","지가변동률[%]","%",".221",".182",".224",".28",".176",".139",".147",".138",".418",".091",".012",
"달서구","녹지지역","지가변동률[%]","%",".092",".169",".048",".013",".161",".046",".044",".038",".437",".031","-.004",
"달서구","전","지가변동률[%]","%",".004",".056",".174",".056",".102",".087",".193",".086",".286",".023","0",
"달서구","답","지가변동률[%]","%","","","","","","","","","",".017",".036",
"달서구","주거용(대)","지가변동률[%]","%",".419",".342",".35",".387",".395",".255",".1",".02","-.139","-.094","-.018",
"달서구","상업용(대)","지가변동률[%]","%",".201",".295",".121",".104",".303",".273",".41",".355",".402",".148",".015",
"달서구","임야","지가변동률[%]","%",".272",".179",".057",".007",".427",".006",".002",".034",".325",".059","-.011",
"달서구","공장용지","지가변동률[%]","%",".263",".234",".335",".295",".248",".167",".11",".103",".563",".104",".009",
"달성군","평균","지가변동률[%]","%",".16",".225",".199",".189",".176",".155",".171",".139",".122",".018","-.012",
"달성군","주거지역","지가변동률[%]","%",".277",".357",".265",".319",".242",".233",".184",".179",".149",".016","-.018",
"달성군","상업지역","지가변동률[%]","%",".046",".082",".074",".075",".108",".057",".031",".494",".072",".008","0",
"달성군","공업지역","지가변동률[%]","%",".037",".039",".11",".063",".103",".172",".27",".087",".133",".057",".012",
"달성군","녹지지역","지가변동률[%]","%",".09",".174",".181",".102",".136",".066",".132",".061",".093",".004","-.016",
"달성군","농림지역","지가변동률[%]","%","0","-.067","-.037",".044",".066","0","0","-.102","0","-.058","-.069",
"달성군","자연환경보전지역","지가변동률[%]","%","-.079","0","-.039",".017",".052",".043",".039",".035",".084","-.063","-.067",
"달성군","전","지가변동률[%]","%",".083",".171",".266",".07",".211",".127",".188",".088",".067","-.014","-.041",
"달성군","답","지가변동률[%]","%",".068",".147",".15",".078",".088",".056",".122",".061",".095",".014","-.02",
"달성군","주거용(대)","지가변동률[%]","%",".17",".244",".102",".181",".088",".168",".225",".065",".047","-.019","-.062",
"달성군","상업용(대)","지가변동률[%]","%",".349",".235",".033",".476",".308",".2",".051",".275",".364",".019",".026",
"달성군","임야","지가변동률[%]","%",".023",".019",".041",".019",".046",".012",".024","-.01",".105","-.012","-.007",
"달성군","공장용지","지가변동률[%]","%",".173",".36",".244",".255",".411",".274",".28",".154",".242",".074",".013",
"인천광역시","평균","지가변동률[%]","%",".288",".317",".289",".295",".272",".265",".252",".175",".055","-.085","-.074",
"인천광역시","주거지역","지가변동률[%]","%",".287",".311",".301",".298",".271",".264",".246",".158","-.014","-.153","-.127",
"인천광역시","상업지역","지가변동률[%]","%",".304",".32",".263",".404",".31",".25",".275",".176",".071","-.095","-.082",
"인천광역시","공업지역","지가변동률[%]","%",".319",".378",".304",".258",".264",".29",".263",".229",".157",".006",".015",
"인천광역시","녹지지역","지가변동률[%]","%",".23",".267",".26",".217",".25",".265",".253",".169",".125",".043",".028",
"인천광역시","보전관리지역","지가변동률[%]","%",".184",".248",".217",".26",".095",".132",".2",".08",".078",".03","-.012",
"인천광역시","생산관리지역","지가변동률[%]","%",".229",".224",".272",".611",".277",".136",".203",".074",".035","-.078","-.042",
"인천광역시","계획관리지역","지가변동률[%]","%",".267",".246",".251",".229",".302",".227",".219",".185",".136",".013","-.071",
"인천광역시","농림지역","지가변동률[%]","%",".181",".267",".216",".21",".228",".177",".172",".161",".139",".019","-.04",
"인천광역시","전","지가변동률[%]","%",".329",".277",".279",".293",".282",".244",".29",".203",".168",".103",".021",
"인천광역시","답","지가변동률[%]","%",".295",".323",".287",".298",".331",".215",".233",".26",".178",".051","-.003",
"인천광역시","주거용(대)","지가변동률[%]","%",".274",".322",".29",".295",".272",".27",".245",".11","-.107","-.2","-.17",
"인천광역시","상업용(대)","지가변동률[%]","%",".278",".299",".264",".34",".276",".24",".246",".211",".096","-.089","-.053",
"인천광역시","임야","지가변동률[%]","%",".171",".205",".212",".211",".145",".217",".137",".13",".15",".061",".022",
"인천광역시","공장용지","지가변동률[%]","%",".301",".36",".28",".252",".271",".264",".271",".233",".173",".03",".037",
"중구","평균","지가변동률[%]","%",".239",".286",".323",".322",".271",".276",".29",".192",".059","-.008","-.043",
"중구","주거지역","지가변동률[%]","%",".236",".269",".283",".254",".27",".26",".199",".193","-.048","-.11","-.172",
"중구","상업지역","지가변동률[%]","%",".26",".389",".328",".564",".3",".24",".403",".137",".089","-.08","-.015",
"중구","공업지역","지가변동률[%]","%",".204",".253",".345",".292",".237",".338",".286",".203",".083",".034",".004",
"중구","녹지지역","지가변동률[%]","%",".256",".26",".336",".244",".279",".263",".3",".221",".113",".112",".028",
"중구","전","지가변동률[%]","%",".365",".278",".372",".345",".376",".328",".363",".189",".218",".207",".223",
"중구","답","지가변동률[%]","%",".478",".313",".428",".333",".272",".317",".495",".357",".17",".23",".255",
"중구","주거용(대)","지가변동률[%]","%",".18",".29",".289",".308",".212",".276",".261",".159","-.124","-.196","-.19",
"중구","상업용(대)","지가변동률[%]","%",".238",".267",".335",".368",".339",".267",".253",".192",".077","-.051","-.044",
"중구","임야","지가변동률[%]","%",".209",".284",".325",".214",".207",".208",".169",".206",".217",".127",".105",
"중구","공장용지","지가변동률[%]","%",".217",".213",".182",".335",".214",".239",".309",".217",".085",".031",".035",
"동구","평균","지가변동률[%]","%",".224",".287",".224",".257",".26",".271",".264",".211",".04","-.045","-.129",
"동구","주거지역","지가변동률[%]","%",".249",".314",".241",".263",".265",".248",".248",".148","-.041","-.131","-.225",
"동구","상업지역","지가변동률[%]","%",".239",".26",".255",".271",".271",".275",".266",".19",".055","-.03","-.112",
"동구","공업지역","지가변동률[%]","%",".205",".272",".208",".249",".257",".286",".274",".26",".095",".012","-.066",
"동구","주거용(대)","지가변동률[%]","%",".297",".296",".252",".268",".335",".277",".236",".114","-.069","-.134","-.256",
"동구","상업용(대)","지가변동률[%]","%",".199",".269",".186",".264",".169",".25",".277",".276",".078","-.022","-.045",
"동구","공장용지","지가변동률[%]","%",".183",".291",".223",".229",".256",".27",".293",".239",".076",".019","-.048",
"미추홀구","평균","지가변동률[%]","%",".326",".324",".324",".297",".288",".264",".258",".18","-.051","-.144","-.153",
"미추홀구","주거지역","지가변동률[%]","%",".331",".332",".333",".3",".301",".269",".282",".187","-.081","-.175","-.159",
"미추홀구","상업지역","지가변동률[%]","%",".327",".319",".307",".297",".283",".255",".223",".18","-.02","-.103","-.163",
"미추홀구","공업지역","지가변동률[%]","%",".309",".293",".307",".283",".212",".249",".17",".149",".096","-.014","-.096",
"미추홀구","녹지지역","지가변동률[%]","%",".185",".109",".187",".244",".227",".231",".116",".094",".025","-.007","-.014",
"미추홀구","전","지가변동률[%]","%",".26",".303",".259",".258",".214",".128",".171",".128",".085","-.009","-.008",
"미추홀구","주거용(대)","지가변동률[%]","%",".321",".333",".328",".303",".295",".276",".278",".169","-.098","-.21","-.195",
"미추홀구","상업용(대)","지가변동률[%]","%",".318",".306",".297",".295",".287",".254",".221",".211","-.006","-.047","-.09",
"미추홀구","임야","지가변동률[%]","%",".309",".253",".264",".104",".048",".113",".197",".178",".019","-.025","-.024",
"미추홀구","공장용지","지가변동률[%]","%",".301",".255",".163",".29",".267",".131",".22",".209",".094","-.018","-.078",
"연수구","평균","지가변동률[%]","%",".299",".301",".222",".204",".195",".218",".195",".1",".034","-.111","-.055",
"연수구","주거지역","지가변동률[%]","%",".335",".307",".251",".22",".204",".227",".202",".111",".029","-.122","-.068",
"연수구","상업지역","지가변동률[%]","%",".26",".303",".236",".264",".274",".197",".186",".087",".022","-.099","-.042",
"연수구","공업지역","지가변동률[%]","%",".219",".291",".081","0","0",".211",".185",".053",".081","-.071","-.01",
"연수구","녹지지역","지가변동률[%]","%",".158",".232",".083",".191",".172",".214",".145",".104",".057","-.103","-.04",
"연수구","전","지가변동률[%]","%",".04",".263",".215",".207",".109",".183",".116",".093",".024","-.033","-.065",
"연수구","주거용(대)","지가변동률[%]","%",".318",".303",".184",".221",".16",".201",".192",".089","-.136","-.145","-.065",
"연수구","상업용(대)","지가변동률[%]","%",".318",".303",".219",".26",".261",".219",".232",".111",".079","-.134","-.064",
"연수구","임야","지가변동률[%]","%",".206",".24",".127",".196",".116",".152",".105",".084",".064","-.04","-.021",
"연수구","공장용지","지가변동률[%]","%",".235",".282",".216","0",".039",".237",".119",".087",".078","-.051","-.007",
"남동구","평균","지가변동률[%]","%",".301",".292",".296",".284",".293",".261",".248",".184",".03","-.093","-.034",
"남동구","주거지역","지가변동률[%]","%",".283",".288",".307",".276",".291",".254",".216",".136","-.035","-.138","-.092",
"남동구","상업지역","지가변동률[%]","%",".267",".223",".244",".222",".282",".239",".22",".322",".058","-.21","-.058",
"남동구","공업지역","지가변동률[%]","%",".363",".347",".32",".342",".324",".287",".35",".228",".138",".008",".078",
"남동구","녹지지역","지가변동률[%]","%",".252",".233",".204",".227",".205",".237",".186",".185",".134",".053",".032",
"남동구","전","지가변동률[%]","%",".328",".28",".26",".308",".236",".25",".168",".241",".168",".104",".025",
"남동구","답","지가변동률[%]","%",".332",".43",".441",".373",".284",".218",".358",".064",".108","","",
"남동구","주거용(대)","지가변동률[%]","%",".28",".276",".285",".288",".28",".269",".222",".051","-.112","-.21","-.135",
"남동구","상업용(대)","지가변동률[%]","%",".263",".291",".262",".284",".252",".25",".211",".329",".132","-.134","-.054",
"남동구","임야","지가변동률[%]","%","0",".089",".007",".013",".052",".093",".004",".003",".048",".085",".068",
"남동구","공장용지","지가변동률[%]","%",".373",".341",".328",".348",".338",".274",".375",".237",".138",".083",".115",
"부평구","평균","지가변동률[%]","%",".28",".33",".327",".349",".299",".267",".273",".232","-.037","-.178","-.059",
"부평구","주거지역","지가변동률[%]","%",".318",".358",".377",".345",".343",".31",".304",".202","-.059","-.271","-.087",
"부평구","상업지역","지가변동률[%]","%",".226",".244",".301",".311",".268",".224",".273",".265","-.014","-.057","-.043",
"부평구","공업지역","지가변동률[%]","%",".256",".389",".156",".529",".208",".189",".2",".371",".01",".009",".02",
"부평구","녹지지역","지가변동률[%]","%",".034",".091",".282",".01",".1",".086",".103",".111",".029",".034",".019",
"부평구","전","지가변동률[%]","%",".096",".025",".025",".024",".025",".025",".092",".054",".063",".03",".023",
"부평구","답","지가변동률[%]","%",".064",".366",".35",".036",".007",".036",".042",".109",".043",".026",".026",
"부평구","주거용(대)","지가변동률[%]","%",".343",".384",".41",".341",".388",".339",".321",".104","-.083","-.27","-.272",
"부평구","상업용(대)","지가변동률[%]","%",".219",".213",".283",".294",".213",".2",".237",".381","-.032","-.108",".277",
"부평구","임야","지가변동률[%]","%",".091",".006",".254",".005",".065",".034",".102",".084",".048",".025",".021",
"부평구","공장용지","지가변동률[%]","%",".348",".439",".008",".605",".095",".14",".25",".452",".277",".139",".124",
"계양구","평균","지가변동률[%]","%",".286",".303",".283",".31",".283",".26",".247",".153",".115","-.11","-.052",
"계양구","주거지역","지가변동률[%]","%",".181",".206",".26",".311",".212",".27",".257",".149",".061","-.17","-.081",
"계양구","상업지역","지가변동률[%]","%",".222",".078",".246",".608",".223",".129",".124",".183",".197","-.413","-.021",
"계양구","공업지역","지가변동률[%]","%",".392",".546",".068",".482",".011",".345",".053",".062",".004",".135",".007",
"계양구","녹지지역","지가변동률[%]","%",".467",".47",".374",".175",".492",".22",".286",".174",".214",".084",".005",
"계양구","전","지가변동률[%]","%",".788",".444",".293",".242",".31",".298",".405",".195",".271",".112",".016",
"계양구","답","지가변동률[%]","%",".67",".494",".401",".032",".258",".326",".128",".23",".162",".135",".015",
"계양구","주거용(대)","지가변동률[%]","%",".205",".209",".294",".286",".165",".281",".225",".155","-.102","-.207","-.056",
"계양구","상업용(대)","지가변동률[%]","%",".199",".289",".148",".463",".401",".205",".281",".127",".368","-.202","-.074",
"계양구","임야","지가변동률[%]","%",".01",".077",".057",".23",".117",".057",".03",".072",".222",".073","-.003",
"계양구","공장용지","지가변동률[%]","%",".104",".366",".493",".313",".144",".168",".17",".122",".2",".104",".005",
"서구","평균","지가변동률[%]","%",".299",".374",".306",".343",".309",".312",".285",".194",".126","-.057","-.112",
"서구","주거지역","지가변동률[%]","%",".249",".343",".307",".385",".291",".279",".27",".176",".006","-.121","-.22",
"서구","상업지역","지가변동률[%]","%",".484",".421",".203",".657",".448",".366",".357",".192",".226","-.021","-.198",
"서구","공업지역","지가변동률[%]","%",".417",".504",".422",".187",".374",".319",".265",".282",".299",".005",".016",
"서구","녹지지역","지가변동률[%]","%",".149",".244",".196",".233",".18",".33",".274",".124",".129",".003",".059",
"서구","보전관리지역","지가변동률[%]","%",".16",".461",".16",".355",".239",".127",".455",".045",".031",".051",".044",
"서구","생산관리지역","지가변동률[%]","%","0",".216",".159",".225",".266",".416",".431",".043",".052",".051",".037",
"서구","계획관리지역","지가변동률[%]","%","0",".14",".185",".278",".184",".493",".488",".046",".074",".041",".047",
"서구","농림지역","지가변동률[%]","%",".019",".18",".084",".225",".19",".32",".455",".054",".013",".02",".024",
"서구","전","지가변동률[%]","%",".196",".228",".329",".208",".292",".264",".33",".171",".111",".026",".012",
"서구","답","지가변동률[%]","%",".072",".264",".288",".222",".209",".197",".381",".124",".023",".028",".023",
"서구","주거용(대)","지가변동률[%]","%",".218",".386",".295",".34",".345",".298",".255",".12","-.11","-.204","-.247",
"서구","상업용(대)","지가변동률[%]","%",".303",".37",".263",".482",".273",".268",".294",".218",".169","-.027","-.196",
"서구","임야","지가변동률[%]","%",".158",".308",".067",".311",".068",".417",".288",".078",".206",".072",".118",
"서구","공장용지","지가변동률[%]","%",".351",".471",".378",".189",".394",".327",".279",".263",".265",".007",".021",
"강화군","평균","지가변동률[%]","%",".246",".261",".251",".242",".252",".194",".185",".182",".127",".012","-.031",
"강화군","주거지역","지가변동률[%]","%",".245",".299",".251",".247",".24",".21",".257",".109","-.007","-.036","-.049",
"강화군","상업지역","지가변동률[%]","%",".177",".14",".088",".1",".08",".474",".438",".129",".006","-.017","0",
"강화군","공업지역","지가변동률[%]","%",".005",".242",".08",".088","0",".591",".346",".095","0","0","0",
"강화군","녹지지역","지가변동률[%]","%",".274",".19",".244",".257",".217",".189",".057",".321",".152",".013","-.059",
"강화군","보전관리지역","지가변동률[%]","%",".196",".249",".238",".248",".068",".115",".178",".075",".076",".041","-.002",
"강화군","생산관리지역","지가변동률[%]","%",".246",".235",".321",".721",".282",".111",".202",".072",".028","-.088","-.038",
"강화군","계획관리지역","지가변동률[%]","%",".278",".263",".264",".233",".307",".214",".21",".199",".136",".017","-.027",
"강화군","농림지역","지가변동률[%]","%",".204",".285",".24",".206",".237",".164",".142",".181",".162",".013","-.041",
"강화군","전","지가변동률[%]","%",".255",".243",".245",".345",".285",".217",".3",".273",".161",".152","-.042",
"강화군","답","지가변동률[%]","%",".256",".342",".256",".376",".405",".218",".152",".306",".237",".008","-.029",
"강화군","주거용(대)","지가변동률[%]","%",".26",".273",".306",".295",".14",".155",".19",".033","-.021","-.127","-.035",
"강화군","상업용(대)","지가변동률[%]","%",".293",".293",".219",".131",".179",".159",".106",".032",".001","-.086","-.04",
"강화군","임야","지가변동률[%]","%",".18",".132",".249",".206",".151",".101",".041",".089",".089",".014",".013",
"강화군","공장용지","지가변동률[%]","%",".271",".033",".003","0",".31",".594",".348",".095","0","0","0",
"옹진군","평균","지가변동률[%]","%",".227",".2",".21",".229",".269",".227",".218",".144",".125",".006","-.164",
"옹진군","보전관리지역","지가변동률[%]","%",".154",".172",".171",".266",".135",".183",".185",".104",".102","-.008","-.06",
"옹진군","생산관리지역","지가변동률[%]","%",".199",".185",".1",".243",".264",".194",".169",".09",".059","-.044","-.069",
"옹진군","계획관리지역","지가변동률[%]","%",".241",".208",".225",".221",".294",".249",".235",".157",".137",".002","-.181",
"옹진군","농림지역","지가변동률[%]","%",".177",".165",".108",".245",".172",".017",".03",".068",".02",".138","-.187",
"옹진군","전","지가변동률[%]","%",".237",".178",".187",".322",".293",".059",".243",".106",".148",".023","-.054",
"옹진군","답","지가변동률[%]","%",".21",".114",".082",".277",".374",".019",".272",".125",".125",".009","-.236",
"옹진군","주거용(대)","지가변동률[%]","%",".189",".223",".256",".16",".336",".151",".122",".098",".012","-.136","-.126",
"옹진군","상업용(대)","지가변동률[%]","%",".093",".202",".436",".009",".01","0",".03",".112","0",".001","-.032",
"옹진군","임야","지가변동률[%]","%",".207",".2",".215",".225",".156",".386",".203",".192",".142",".054","-.173",
"광주광역시","평균","지가변동률[%]","%",".227",".247",".254",".277",".265",".232",".214",".174",".121",".008","-.002",
"광주광역시","주거지역","지가변동률[%]","%",".242",".24",".256",".254",".25",".236",".227",".136",".071",".002","-.01",
"광주광역시","상업지역","지가변동률[%]","%",".164",".203",".204",".268",".22",".214",".18",".195",".13","-.014",".019",
"광주광역시","공업지역","지가변동률[%]","%",".145",".275",".23",".369",".324",".147",".097",".243",".201",".001","-.019",
"광주광역시","녹지지역","지가변동률[%]","%",".25",".273",".278",".298",".31",".258",".241",".248",".222",".047",".019",
"광주광역시","보전관리지역","지가변동률[%]","%",".529",".342",".126",".515",".296",".131",".221",".076",".04","-.062","-.004",
"광주광역시","생산관리지역","지가변동률[%]","%",".232",".328",".215",".559",".228",".161",".178",".177",".067","-.055","-.001",
"광주광역시","계획관리지역","지가변동률[%]","%",".262",".333",".244",".407",".364",".208",".215",".226",".132","-.015",".03",
"광주광역시","농림지역","지가변동률[%]","%",".107",".456",".33",".238",".133",".103","0",".134",".11","-.025",".003",
"광주광역시","전","지가변동률[%]","%",".255",".316",".312",".321",".382",".255",".276",".277",".25",".052","-.006",
"광주광역시","답","지가변동률[%]","%",".227",".262",".241",".35",".363",".288",".251",".231",".221",".04",".02",
"광주광역시","주거용(대)","지가변동률[%]","%",".203",".253",".226",".253",".256",".233",".233",".103","-.008","-.021","-.028",
"광주광역시","상업용(대)","지가변동률[%]","%",".216",".234",".238",".297",".224",".223",".196",".211",".203",".027",".03",
"광주광역시","임야","지가변동률[%]","%",".239",".267",".217",".272",".27",".205",".13",".38",".246",".061",".046",
"광주광역시","공장용지","지가변동률[%]","%",".323",".294",".29",".423",".375",".323",".123",".239",".197",".001","-.024",
"동구","평균","지가변동률[%]","%",".243",".244",".231",".244",".241",".241",".239",".195",".157",".029","-.001",
"동구","주거지역","지가변동률[%]","%",".286",".287",".266",".282",".284",".262",".265",".197",".159",".022","-.005",
"동구","상업지역","지가변동률[%]","%",".184",".191",".173",".197",".18",".215",".202",".17",".161",".034","-.004",
"동구","녹지지역","지가변동률[%]","%",".147",".129",".214",".123",".185",".178",".199",".302",".125",".068",".062",
"동구","전","지가변동률[%]","%",".074",".195",".19",".179",".166",".085",".183",".112",".174",".029",".035",
"동구","답","지가변동률[%]","%",".237",".157",".158",".158",".156",".079",".235",".39",".078",".041",".04",
"동구","주거용(대)","지가변동률[%]","%",".278",".283",".253",".26",".228",".242",".24",".096","-.01","-.031","-.035",
"동구","상업용(대)","지가변동률[%]","%",".234",".228",".229",".243",".276",".292",".265",".303",".36",".113",".029",
"동구","임야","지가변동률[%]","%",".118",".067",".101",".095",".182",".056",".057",".596",".074",".026",".103",
"서구","평균","지가변동률[%]","%",".201",".209",".248",".25",".257",".247",".24",".2",".126",".051",".011",
"서구","주거지역","지가변동률[%]","%",".195",".213",".243",".244",".253",".245",".245",".136",".076",".038","-.002",
"서구","상업지역","지가변동률[%]","%",".187",".176",".239",".239",".234",".256",".256",".272",".168",".066",".05",
"서구","공업지역","지가변동률[%]","%",".128",".148",".119",".222",".191",".228",".135",".277",".224",".065","-.012",
"서구","녹지지역","지가변동률[%]","%",".253",".242",".311",".286",".304",".251",".237",".305",".213",".068",".022",
"서구","전","지가변동률[%]","%",".307",".266",".325",".33",".365",".315",".276",".316",".263",".069",".039",
"서구","답","지가변동률[%]","%",".292",".263",".333",".323",".387",".367",".31",".323",".207",".094",".031",
"서구","주거용(대)","지가변동률[%]","%",".217",".216",".255",".248",".268",".26",".255",".012","-.047",".017","-.008",
"서구","상업용(대)","지가변동률[%]","%",".158",".209",".248",".232",".23",".221",".215",".311",".229",".06",".015",
"서구","임야","지가변동률[%]","%",".205",".218",".194",".268",".273",".077","0",".285",".226",".067",".035",
"서구","공장용지","지가변동률[%]","%",".101",".145",".132",".22",".161",".224",".161",".346",".246",".049",".042",
"남구","평균","지가변동률[%]","%",".234",".272",".282",".296",".267",".246",".198",".151",".107","-.05","-.016",
"남구","주거지역","지가변동률[%]","%",".24",".288",".294",".331",".287",".248",".171",".114",".025","-.093","-.034",
"남구","상업지역","지가변동률[%]","%",".175",".191",".245",".182",".15",".177",".15",".049",".014","-.06","-.045",
"남구","공업지역","지가변동률[%]","%",".076",".153",".13",".274",".194",".197",".122",".13",".272",".021",".019",
"남구","녹지지역","지가변동률[%]","%",".255",".252",".264",".179",".22",".268",".359",".353",".467",".14",".072",
"남구","전","지가변동률[%]","%",".542",".429",".417",".289",".36",".199",".412",".356",".613",".139",".07",
"남구","답","지가변동률[%]","%",".246",".213",".263",".182",".28",".317",".376",".343",".49",".128",".088",
"남구","주거용(대)","지가변동률[%]","%",".214",".339",".315",".27",".299",".284",".178",".116","-.007","-.12","-.041",
"남구","상업용(대)","지가변동률[%]","%",".282",".145",".192",".361",".225",".17",".163",".072",".088","-.052","-.023",
"남구","임야","지가변동률[%]","%",".051",".179",".028","0",".021",".199",".255",".546",".513",".199",".024",
"남구","공장용지","지가변동률[%]","%",".058",".125",".1",".231",".161",".27",".205",".191",".248",".012",".032",
"북구","평균","지가변동률[%]","%",".225",".241",".24",".269",".263",".236",".205",".159",".139",".015","-.001",
"북구","주거지역","지가변동률[%]","%",".222",".231",".232",".237",".225",".261",".187",".11",".086","-.005","-.015",
"북구","상업지역","지가변동률[%]","%",".129",".202",".192",".311",".239",".145",".245",".172",".098",".015",".051",
"북구","공업지역","지가변동률[%]","%",".11",".213",".18",".446",".402",".179",".172",".343",".27",".039","-.066",
"북구","녹지지역","지가변동률[%]","%",".278",".268",".24",".241",".348",".181",".212",".28",".245",".09",".053",
"북구","전","지가변동률[%]","%",".211",".181",".307",".27",".466",".166",".353",".439",".224",".108",".007",
"북구","답","지가변동률[%]","%",".178",".444",".309",".243",".365",".273",".224",".135",".167",".074",".045",
"북구","주거용(대)","지가변동률[%]","%",".226",".232",".253",".289",".277",".232",".197",".06","-.011","-.031","-.074",
"북구","상업용(대)","지가변동률[%]","%",".144",".235",".173",".22",".194",".231",".202",".193",".207",".046",".117",
"북구","임야","지가변동률[%]","%",".513",".208",".381",".358",".36",".26",".159",".502",".301",".1",".157",
"북구","공장용지","지가변동률[%]","%",".141",".139",".236",".454",".276",".179",".172",".351",".313",".041","-.061",
"광산구","평균","지가변동률[%]","%",".241",".266",".261",".303",".277",".208",".204",".171",".101","-.002","-.004",
"광산구","주거지역","지가변동률[%]","%",".284",".222",".256",".218",".234",".185",".276",".155",".05",".041",".003",
"광산구","상업지역","지가변동률[%]","%",".144",".253",".196",".364",".246",".23",".019",".184",".103","-.174","-.004",
"광산구","공업지역","지가변동률[%]","%",".166",".331",".277",".381",".336",".117",".061",".212",".166","-.02","-.011",
"광산구","녹지지역","지가변동률[%]","%",".243",".308",".287",".378",".331",".3",".227",".171",".157","-.009","-.015",
"광산구","보전관리지역","지가변동률[%]","%",".529",".342",".126",".515",".296",".131",".221",".076",".04","-.062","-.004",
"광산구","생산관리지역","지가변동률[%]","%",".232",".328",".215",".559",".228",".161",".178",".177",".067","-.055","-.001",
"광산구","계획관리지역","지가변동률[%]","%",".262",".333",".244",".407",".364",".208",".215",".226",".132","-.015",".03",
"광산구","농림지역","지가변동률[%]","%",".107",".456",".33",".238",".133",".103","0",".134",".11","-.025",".003",
"광산구","전","지가변동률[%]","%",".169",".388",".289",".367",".395",".296",".211",".177",".143","-.004","-.068",
"광산구","답","지가변동률[%]","%",".214",".211",".17",".455",".379",".254",".197",".193",".163","-.02","-.013",
